Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Dummy
Q'eqchi' (Belize),Vulnerable,12366,16.8107,-88.3999,1
Kadaru,Definitely endangered,12360,12.1789,30.2398,1
Mazatlán Mazatec,Vulnerable,12340,18.033,-96.8999,1
Badiaranke,Severely endangered,12205,12.4043,-13.5736,1
Alune,Vulnerable,12000,-3.0637,128.3752,1
Bangani,Critically endangered,12000,29.8692,79.0686,1
Chamalal,Definitely endangered,12000,42.5712,46.0739,1
Chru,Vulnerable,12000,11.4666,109.05,1
Hill Miri,Definitely endangered,12000,27.7078,94.0374,1
Jinuo,Definitely endangered,12000,21.4758,101.3111,1
Muya,Vulnerable,12000,30.2593,101.7497,1
Samei,Severely endangered,12000,25.0756,103.0133,1
Tajio,Vulnerable,12000,-0.0954,120.0173,1
Tobada',Extinct,12000,-2.019,119.4708,1
Yurt Tatar,Definitely endangered,12000,46.3943,48.3288,1
Yaqui (Mexico),Vulnerable,11806,27.6436,-110.296,1
Ch'orti' (Guatemala),Definitely endangered,11734,14.968,-89.2905,1
Filomeno Mata Totonac,Vulnerable,11710,20.198,-97.7022,1
Northern Totonac,Critically endangered,11529,20.2741,-97.955,1
Komo,Definitely endangered,11500,9.0804,34.0905,1
Tuwuli,Vulnerable,11400,7.0572,0.3845,1
Poqomam,Definitely endangered,11273,14.6455,-89.7274,1
Idu,Definitely endangered,11101,28.6496,95.8419,1
Kari'ña (Venezuela),Severely endangered,11000,8.4941,-64.0942,1
Machiguenga,Definitely endangered,11000,-11.8888,-72.9052,1
Piaroa (Venezuela),Vulnerable,11000,4.5435,-66.7089,1
Tuvaluan,Definitely endangered,11000,-8.5049,179.187,1
Waunana (Colombia),Vulnerable,11000,4.2806,-77.0581,1
Noon,Vulnerable,10925,14.8173,-16.5234,1
Sampang,Vulnerable,10810,27.257,86.9444,1
Central Alaskan Yupik (2),Vulnerable,10400,61.4387,-160.4882,1
Central Alaskan Yupik (Nuniak Island),Vulnerable,10400,59.8889,-166.289,1
Bukiyip,Vulnerable,10304,-3.4256,143.0886,1
Saparua,Definitely endangered,10216,-3.5757,128.6464,1
Darai,Severely endangered,10210,27.9264,84.331,1
Bandial,Vulnerable,10125,12.5317,-16.1553,1
Bongo,Definitely endangered,10084,6.1405,31.7999,1
Northwestern Tarahumara,Vulnerable,10031,27.9169,-107.0552,1
Algherese Catalan,Definitely endangered,10000,40.5638,8.3276,1
Aragonese,Definitely endangered,10000,42.2935,-0.4394,1
Baima,Vulnerable,10000,33.1531,103.8696,1
Bukharic,Definitely endangered,10000,39.8043,64.4224,1
Bunun,Vulnerable,10000,23.3624,121.1077,1
Burunge,Vulnerable,10000,-4.7297,35.7769,1
Chayahuita,Definitely endangered,10000,-5.3425,-76.6955,1
Cherokee (Oklahoma),Definitely endangered,10000,36.7544,-98.3569,1
Dalecarlian,Definitely endangered,10000,61.2385,14.0295,1
"Huitoto (Colombia, Peru)",Definitely endangered,10000,-3.0308,-71.8066,1
Hulaula (Israel),Severely endangered,10000,32.2128,34.9118,1
Karang,Vulnerable,10000,8.3093,15.3588,1
Karelian (Tver),Definitely endangered,10000,58.1533,36.101,1
Karone,Vulnerable,10000,12.7769,-16.7733,1
Kryz,Severely endangered,10000,41.1455,48.164,1
"Kurripako (Colombia, Venezuela)",Definitely endangered,10000,2.3723,-67.5659,1
Kurtöp,Vulnerable,10000,27.7127,90.9667,1
Lamgang,Critically endangered,10000,24.2569,94.0759,1
Miqie,Definitely endangered,10000,26.9053,100.8506,1
Mojo,Definitely endangered,10000,-14.966,-65.1708,1
Muot,Critically endangered,10000,8.0932,93.4963,1
Naiki,Critically endangered,10000,19.8287,78.2281,1
Ñandeva Guarani,Vulnerable,10000,-22.0652,-54.7558,1
Ngwaba,Severely endangered,10000,9.9904,12.81,1
North Frisian,Severely endangered,10000,54.7341,8.7478,1
Northern Khanty,Definitely endangered,10000,63.7047,66.676,1
Nyah Kur,Definitely endangered,10000,15.6587,101.5068,1
Nyenkha,Vulnerable,10000,27.4595,90.4119,1
Orang Hulu,Definitely endangered,10000,1.8871,103.984,1
Otoro,Severely endangered,10000,11.1864,30.6353,1
Solon,Definitely endangered,10000,48.166,119.4873,1
Southern Tujia,Severely endangered,10000,28.258,109.9398,1
Taba,Vulnerable,10000,0.0659,127.4084,1
Talu,Vulnerable,10000,26.5623,102.8506,1
Tamazight (Tunisia),Severely endangered,10000,36.0313,9.8767,1
Tayal,Vulnerable,10000,24.5458,121.3591,1
Temein,Severely endangered,10000,11.8377,29.4625,1
Temiar,Definitely endangered,10000,4.9493,101.4113,1
Trukhmen,Definitely endangered,10000,44.4886,44.5385,1
Vidunda,Vulnerable,10000,-6.8664,37.304,1
Kogui,Vulnerable,9911,10.8548,-74.0258,1
Paloor,Vulnerable,9680,14.7801,-16.8035,1
Awakatek (Guatemala),Vulnerable,9613,15.3429,-91.312,1
Choctaw (Louisiana),Vulnerable,9500,31.6822,-92.1252,1
Choctaw (Mississipi),Vulnerable,9500,32.7713,-89.1163,1
Choctaw (Oklahoma),Vulnerable,9500,34.1472,-94.81,1
Gawar-Bati,Definitely endangered,9500,35.158,71.4083,1
Taruang,Vulnerable,9332,28.12,95.88,1
Khaling,Definitely endangered,9288,27.5781,86.7163,1
Western Tarahumara,Vulnerable,9196,27.3361,-108.5007,1
Nunavimmiutitut,Vulnerable,9105,58.1665,-68.3605,1
Woods Cree,Vulnerable,9095,55.1711,-102.9061,1
Phula (Viet Nam),Definitely endangered,9046,22.7833,105.4666,1
Dol-po,Definitely endangered,9000,29.2193,83.0676,1
Helong,Severely endangered,9000,-10.1905,123.5247,1
Lisela,Vulnerable,9000,-3.2392,127.0239,1
Motuo Menba,Definitely endangered,9000,28.664,94.0347,1
Panamahka,Vulnerable,9000,14.2856,-84.5947,1
Zuni,Vulnerable,9000,35.082,-108.76,1
Mopán (Belize),Severely endangered,8980,16.2449,-88.8654,1
Tulishi,Severely endangered,8628,11.5984,29.0917,1
Central Cuicatec,Vulnerable,8621,17.8,-96.961,1
Ts'amay,Definitely endangered,8621,5.4382,37.2463,1
Phalura,Definitely endangered,8600,35.7264,71.7434,1
Northern Popoloc,Vulnerable,8597,18.6818,-97.658,1
Ixcatlán Mazatec,Vulnerable,8593,18.1447,-96.4855,1
Patla-Chicontla Totonac,Severely endangered,8590,20.1644,-97.6927,1
Toram,Severely endangered,8456,11.1581,19.6023,1
Northwestern Tlapanec,Vulnerable,8409,17.5595,-98.9332,1
Dene,Vulnerable,8195,56.4807,-109.4127,1
Micmac (Massachusetts),Definitely endangered,8145,42.3589,-71.0578,1
Argobba,Critically endangered,8000,10.5958,39.9792,1
Austral dialects,Definitely endangered,8000,-23.3775,-149.4909,1
Belanda Bor,Definitely endangered,8000,6.4954,27.7404,1
Feroge,Vulnerable,8000,8.5049,25.7189,1
Hachijō,Definitely endangered,8000,33.11,139.7891,1
Inga,Severely endangered,8000,1.1658,-77.0011,1
Kanga,Severely endangered,8000,10.844,29.4708,1
Lajia,Definitely endangered,8000,23.7439,110.0526,1
Lakha,Definitely endangered,8000,27.5898,90.3735,1
Mbya Guarani (Paraguay),Definitely endangered,8000,-26.5099,-55.2832,1
Mundurukú,Vulnerable,8000,-8.1027,-57.3486,1
Ojibwe,Severely endangered,8000,46.0706,-93.6677,1
Quichua (Salasaca),Definitely endangered,8000,-1.3511,-78.6511,1
Rongpo,Vulnerable,8000,30.7229,79.7387,1
Sanyi,Severely endangered,8000,24.9262,102.5134,1
Temuan,Severely endangered,8000,3.3709,101.984,1
Tingal,Definitely endangered,8000,12.238,31.1215,1
Wampis,Vulnerable,8000,-3.4476,-77.7941,1
Wunai Bunu,Definitely endangered,8000,24.4146,107.8378,1
Yanesha,Severely endangered,8000,-10.3743,-75.2343,1
Mam (Mexico),Severely endangered,7977,17.3661,-93.5334,1
Pana,Definitely endangered,7800,13.165,-3.4277,1
Macushi (Guyana),Vulnerable,7750,3.6888,-59.4799,1
Chukchi,Severely endangered,7742,67.6248,176.1767,1
Cabécar,Vulnerable,7622,9.9012,-83.6844,1
Awa Cuaiquer,Critically endangered,7500,1.4939,-78.5742,1
Lishana Deni (Israel),Severely endangered,7500,31.7748,35.1013,1
Central Pame,Vulnerable,7399,21.9208,-99.3741,1
Puinave,Definitely endangered,7377,4.434,-68.1591,1
Mebengokre,Vulnerable,7266,-6.5569,-52.4707,1
Tunebo,Definitely endangered,7231,6.4463,-72.0483,1
Quechua of Peruvian Amazonia,Vulnerable,7200,-2.3723,-74.1137,1
Asur,Definitely endangered,7000,22.4719,84.9023,1
Bashkardi,Definitely endangered,7000,28.5169,57.7551,1
Burji,Vulnerable,7000,2.1857,37.9248,1
Choyi,Definitely endangered,7000,30.8519,99.6659,1
Gazi,Definitely endangered,7000,32.8036,51.6211,1
Guichong,Vulnerable,7000,30.8148,101.7021,1
Karagash,Definitely endangered,7000,47.2643,47.2412,1
Natanzi,Severely endangered,7000,33.452,51.3006,1
Nayini,Severely endangered,7000,32.8519,53.1573,1
Parya,Severely endangered,7000,38.5094,68.0932,1
Segeju,Severely endangered,7000,-4.8173,39.0783,1
Sivandi,Definitely endangered,7000,29.9168,51.5945,1
Soi,Definitely endangered,7000,31.6533,55.6787,1
Tucano (Brazil),Vulnerable,7000,0.1757,-67.2363,1
Wapishana (Guyana),Vulnerable,7000,2.3065,-59.6997,1
Yulu,Vulnerable,7000,8.3854,24.1754,1
Zhaba,Vulnerable,7000,31.4,100.4734,1
Sakapultek,Definitely endangered,6973,14.9752,-91.0527,1
Chara,Vulnerable,6932,6.479,36.3647,1
Kosraean,Severely endangered,6900,5.322,162.9904,1
Waunana (Panama),Severely endangered,6882,8.2984,-78.1018,1
San Francisco del Mar Huave,Critically endangered,6874,16.3333,-94.5166,1
Northern East Cree,Vulnerable,6870,53.6916,-78.8011,1
Micmac (Canada),Vulnerable,6850,45.9646,-60.6172,1
Northern Tepehuán,Definitely endangered,6802,26.4258,-107.2683,1
Miju,Vulnerable,6700,28.1155,96.2896,1
Rio Grande Keresan,Definitely endangered,6685,35.5147,-106.3655,1
Western Mazatec,Vulnerable,6639,18.1351,-96.9057,1
Bussa,Vulnerable,6624,5.7225,37.1406,1
Beli,Definitely endangered,6600,6.4736,29.2675,1
Chesu,Definitely endangered,6600,24.4211,102.0459,1
Thuri,Vulnerable,6600,8.4397,25.4333,1
Karata,Definitely endangered,6574,42.5874,46.3348,1
Saulteau,Vulnerable,6558,50.5573,-98.6562,1
Kumāle,Severely endangered,6533,27.788,84.548,1
Lower Northwestern Otomí,Vulnerable,6509,20.1865,-100.1469,1
Dimme,Vulnerable,6501,5.9548,36.2988,1
Chiquitano (Bolivia),Definitely endangered,6500,-16.5835,-61.6113,1
Tumtum,Severely endangered,6500,10.477,30.4321,1
Bezhta,Definitely endangered,6461,42.1369,46.1508,1
Thakali,Vulnerable,6441,28.7146,83.6478,1
Dongotono,Vulnerable,6219,4.965,35.321,1
Mawé,Vulnerable,6219,-3.8642,-56.7773,1
Shor,Severely endangered,6210,53.0544,87.7478,1
Central Tlapanec,Vulnerable,6191,17.2624,-98.7482,1
Oji-Cree,Vulnerable,6110,53.8141,-94.8977,1
Keiga,Severely endangered,6072,11.3184,29.696,1
Ampibabo Lauje,Vulnerable,6000,0.3295,120.1904,1
Cashinahua (Brazil),Vulnerable,6000,-9.2603,-71.5304,1
Geji cluster,Severely endangered,6000,10.196,9.5581,1
Mbya Guarani (Brazil),Vulnerable,6000,-30.1451,-50.625,1
Moklen,Definitely endangered,6000,8.1953,98.3036,1
Nauruan,Severely endangered,6000,-0.53,166.9221,1
Nheengatu / Yeral (Brazil),Severely endangered,6000,-0.4833,-67.0166,1
Parachi,Definitely endangered,6000,34.4658,68.637,1
Quechua of San Martín,Severely endangered,6000,-6.5336,-76.4428,1
Sawkna,Critically endangered,6000,27.252,17.7539,1
Sulung,Definitely endangered,6000,27.839,92.8784,1
Tindi,Definitely endangered,6000,42.466,46.1453,1
Western Apache,Definitely endangered,6000,33.2563,-110.4637,1
Yanomami (Brazil),Vulnerable,6000,3.0746,-63.457,1
Yazgulami,Severely endangered,6000,38.1982,71.4276,1
Chantyal,Definitely endangered,5912,28.4493,83.4054,1
Mortlockese,Definitely endangered,5904,5.5811,153.5668,1
Baníwa do Içana,Vulnerable,5811,1.2743,-68.291,1
"Akawaio (Guyana, Venezuela)",Definitely endangered,5800,5.3753,-60.5126,1
Akhvakh,Definitely endangered,5793,42.472,46.3238,1
Veps,Severely endangered,5753,60.3269,34.8046,1
Qikiqtaaluk nigiani,Vulnerable,5740,63.7577,-68.5178,1
Sipakapense,Definitely endangered,5687,15.2121,-91.6335,1
Bribri (Costa Rica),Vulnerable,5647,9.5596,-83.3073,1
Bainouk-Gunyaamolo,Vulnerable,5635,12.7421,-16.1141,1
Kwatay,Severely endangered,5625,12.4204,-16.7596,1
Baheng (Viet Nam),Vulnerable,5569,22.8166,106.35,1
Central Zoque,Definitely endangered,5500,17.0965,-93.2095,1
Dameli,Severely endangered,5500,35.578,71.8684,1
Sak (Bangladesh),Severely endangered,5500,21.5041,92.2055,1
Yidgha,Definitely endangered,5500,36.0024,71.6006,1
Southeastern Tarahumara,Vulnerable,5406,26.0891,-106.9645,1
Chimané,Vulnerable,5300,-15.2629,-66.8518,1
Dilling,Definitely endangered,5295,12.0178,29.663,1
San Dionisio del Mar Huave,Definitely endangered,5165,16.3166,-94.75,1
Lafofa,Severely endangered,5140,10.3716,30.6243,1
Akeu,Definitely endangered,5000,21.5833,101.0166,1
Anung (China),Critically endangered,5000,26.7368,98.7766,1
Bagvalal,Definitely endangered,5000,42.5247,46.192,1
Bambassi,Definitely endangered,5000,9.7469,34.7662,1
Barí,Vulnerable,5000,9.0261,-73.2678,1
Bartangi,Severely endangered,5000,38.048,71.8286,1
Bokar,Vulnerable,5000,28.8735,94.3807,1
Brokpa,Definitely endangered,5000,27.3766,91.9981,1
Creek,Definitely endangered,5000,35.6319,-95.9616,1
Cubeo (Colombia),Vulnerable,5000,1.5,-70.5,1
Dagur (Hailar),Definitely endangered,5000,48.6111,119.7949,1
Damal,Vulnerable,5000,-4.2806,137.0324,1
Dhaiso,Definitely endangered,5000,-5.0745,38.4741,1
Gorum,Definitely endangered,5000,18.667,83.0346,1
Guarayu,Definitely endangered,5000,-15.919,-62.8747,1
Gutnish,Definitely endangered,5000,57.3027,18.5284,1
Hopi,Vulnerable,5000,35.8721,-110.6205,1
Ilue,Critically endangered,5000,4.9185,8.2397,1
Jibbali,Severely endangered,5000,18.0623,52.4267,1
Kalasha,Severely endangered,5000,35.6684,71.7201,1
Kami,Severely endangered,5000,-6.8937,37.1337,1
Kathu,Definitely endangered,5000,24.136,105.249,1
Khojki,Severely endangered,5000,23.6193,58.5653,1
Khwe,Definitely endangered,5000,-18.271,21.4892,1
Kom,Definitely endangered,5000,24.0414,93.6639,1
Korandje,Severely endangered,5000,29.4049,-3.2605,1
Lachi,Definitely endangered,5000,22.5,104.1333,1
Mak,Definitely endangered,5000,25.5532,107.3809,1
Manihiki,Definitely endangered,5000,-10.4,-161,1
Megleno-Romanian,Severely endangered,5000,41.1042,22.2025,1
Miji,Definitely endangered,5000,27.3351,92.5735,1
Mo'ang (China),Definitely endangered,5000,23.8421,103.9116,1
Mo'ang (Viet Nam),Definitely endangered,5000,22.7833,105.3666,1
Molise Croatian,Severely endangered,5000,41.8787,14.7065,1
Moroccan Judeo-Arabic (Morocco),Severely endangered,5000,34.0435,-5.0097,1
Namuyi,Vulnerable,5000,28.0727,101.9565,1
Padoe,Vulnerable,5000,-2.6467,121.2615,1
Patamona (Guyana),Vulnerable,5000,4.5873,-59.8095,1
Pu,Critically endangered,5000,8.2549,93.1022,1
Pume,Definitely endangered,5000,6.7518,-68.247,1
Singpho,Definitely endangered,5000,27.5569,96.7456,1
Turi,Definitely endangered,5000,21.8411,87.2973,1
Udi (Azerbaijan),Severely endangered,5000,41.0689,47.4609,1
Yecuana (Venezuela),Vulnerable,5000,4.8501,-64.5117,1
Jirel,Definitely endangered,4919,27.6419,86.2123,1
Dolgan,Definitely endangered,4865,71.3851,97.3388,1
Romani (Colombia),Vulnerable,4858,,,1
Tsum,Definitely endangered,4786,28.4723,85.008,1
Northern Tlapanec,Vulnerable,4771,17.4203,-98.7814,1
Taroko,Vulnerable,4750,24.0916,121.5218,1
Kivallirmiutut,Vulnerable,4675,61.0982,-94.1201,1
Puebla Mazatec,Vulnerable,4660,18.476,-96.8351,1
Zapotec of Petapa,Definitely endangered,4613,16.8333,-95.1166,1
Dungmali,Definitely endangered,4609,27.1874,87.1902,1
Saryg Yugur,Severely endangered,4600,39.2747,98.8439,1
Qikiqtaaluk uannangani,Vulnerable,4550,69.3878,-81.615,1
Afitti,Severely endangered,4512,12.4419,30.7534,1
Nomatsiguenga,Severely endangered,4500,-11.3292,-74.3664,1
Piapoko,Definitely endangered,4500,4.0396,-68.0712,1
Tokelauan,Severely endangered,4500,-9.1699,-171.8206,1
Wotu,Vulnerable,4500,-2.6303,120.888,1
Wambule,Vulnerable,4471,27.1746,86.4363,1
Southern East Cree,Vulnerable,4455,50.587,-73.6365,1
Arbore,Definitely endangered,4441,5.069,36.892,1
Ebang,Severely endangered,4412,11.313,30.5886,1
Tafi,Vulnerable,4400,6.73,0.4421,1
Puma,Severely endangered,4310,26.9692,86.9004,1
Gyele,Definitely endangered,4280,2.2241,9.8986,1
Bwisi,Definitely endangered,4248,-3.5572,11.4477,1
Eastern Montagnais,Vulnerable,4180,50.2136,-66.193,1
Atikamekw,Vulnerable,4155,47.2104,-74.3827,1
Western Zoque,Vulnerable,4100,16.9063,-91.7333,1
Acoma-Laguna,Definitely endangered,4000,34.8964,-107.5816,1
Aka,Definitely endangered,4000,27.1666,92.6312,1
Baga Manduri,Definitely endangered,4000,10.0986,-14.0405,1
Baga Sitemu,Severely endangered,4000,10.1094,-14.1586,1
Botlikh,Definitely endangered,4000,42.6602,46.2222,1
Bunan,Definitely endangered,4000,32.7503,76.2451,1
Cashinahua (Peru),Definitely endangered,4000,-10.3581,-71.5869,1
Cha'palaa,Definitely endangered,4000,0.9386,-79.0055,1
Evenki (Manchuria),Severely endangered,4000,50.34,123.43,1
Gazhuo,Definitely endangered,4000,24.0959,102.5463,1
Godoberi,Definitely endangered,4000,42.643,46.1027,1
"Kari'ña (Guyana, Suriname)",Severely endangered,4000,6.8828,-60.2929,1
Lishan Didan (Israel),Severely endangered,4000,32.0383,34.7827,1
Maleng,Definitely endangered,4000,18.0166,105,1
Napu,Vulnerable,4000,-1.2882,120.2536,1
Rahambuu,Vulnerable,4000,-3.1898,121.0858,1
Shingsaba,Vulnerable,4000,27.7163,87.4731,1
Sinkiang Dagur,Definitely endangered,4000,46.7737,83.0017,1
Taa,Definitely endangered,4000,-24.1367,20.1049,1
Tennet,Vulnerable,4000,4.8611,33.2226,1
Wapishana (Brazil),Definitely endangered,4000,2.8113,-61.2377,1
Yagua,Definitely endangered,4000,-3.3598,-72.3779,1
Yanomám,Vulnerable,4000,3.3818,-63.8085,1
Yanomami (Venezuela),Vulnerable,4000,2.5918,-64.7314,1
Younuo Bunu,Definitely endangered,4000,25.1463,106.5405,1
Zenaga (Mauritania),Severely endangered,4000,17.3086,-13.0078,1
Baghati,Critically endangered,3976,31.194,77.0471,1
Bharmauri,Definitely endangered,3976,32.4912,76.8383,1
Uspantek,Vulnerable,3971,15.3475,-90.8684,1
Khang Quang Lam,Severely endangered,3921,22.0333,102.6666,1
Konni,Vulnerable,3800,10.3311,-1.6973,1
Tocho,Severely endangered,3800,10.8764,30.1135,1
Mixtec of the Puebla-Oaxaca border,Definitely endangered,3791,18.1333,-97.6833,1
Nupri,Definitely endangered,3776,28.6384,84.6079,1
Ayoreo,Definitely endangered,3700,-18.719,-59.6228,1
Moyon,Definitely endangered,3700,24.4171,94.378,1
Utsat,Definitely endangered,3700,18.2727,109.3871,1
Nayi,Vulnerable,3656,7.2698,36.1724,1
Mussau-Emira,Definitely endangered,3651,-1.4774,149.6392,1
Narim,Definitely endangered,3623,4.9048,34.2224,1
Garífuna (Guatemala),Vulnerable,3564,15.8268,-88.7506,1
Nachiring,Severely endangered,3553,27.4144,86.7521,1
Eastern Popoloc,Vulnerable,3544,18.3322,-97.3471,1
Nding,Critically endangered,3513,10.4121,30.6024,1
Anung (Myanmar),Severely endangered,3500,27.2,98.6333,1
Camsá,Definitely endangered,3500,0.8788,-76.7724,1
Crow,Definitely endangered,3500,45.5963,-107.4613,1
Sak (Myanmar),Vulnerable,3500,21.2333,93.0761,1
Shwai,Critically endangered,3500,11.3184,30.4156,1
Wano,Definitely endangered,3500,-3.5463,137.9058,1
Northwestern Ojibwe,Vulnerable,3465,52.0016,-95.4274,1
Bakpinka,Critically endangered,3416,5.3644,8.2397,1
Morokodo,Severely endangered,3400,6.0313,29.7949,1
Eloxochitlán Mazatec,Vulnerable,3384,18.1754,-96.8765,1
Menik,Definitely endangered,3375,12.7528,-12.2717,1
Teribe (Panama),Definitely endangered,3305,9.4472,-82.5166,1
Tima,Severely endangered,3305,11.7033,29.1934,1
Mursi,Vulnerable,3278,5.5831,36.5075,1
Pendau,Vulnerable,3200,0.1922,120.0091,1
Ayautla Mazatec,Vulnerable,3192,18.019,-96.7441,1
Yucatec,Definitely endangered,3155,17.0922,-89.1221,1
Sayultec,Definitely endangered,3150,17.8816,-94.9597,1
Eastern Tlapanec,Vulnerable,3088,17.8135,-98.604,1
Juhur (Caucasus),Definitely endangered,3016,42.0044,48.2409,1
Awjila,Severely endangered,3000,26.6278,24.5214,1
Baleasang,Definitely endangered,3000,-0.0494,119.685,1
Benga,Definitely endangered,3000,0.9997,9.8657,1
Besoa,Vulnerable,3000,-1.7163,120.4211,1
Boni,Definitely endangered,3000,-0.8294,40.8142,1
Bonjo,Severely endangered,3000,1.7712,17.9598,1
Brokshat,Definitely endangered,3000,34.6478,76.4978,1
Budukh,Severely endangered,3000,41.1207,48.3233,1
Dahaalik,Critically endangered,3000,15.6917,40.0671,1
East Greenlandic,Definitely endangered,3000,65.6061,-37.6858,1
Eastern Khanty,Definitely endangered,3000,61.2491,74.5092,1
Fyem,Severely endangered,3000,9.6332,8.8632,1
Geta?,Severely endangered,3000,18.2293,82.727,1
Gura,Severely endangered,3000,10.075,6.8499,1
Harsusi,Definitely endangered,3000,19.9372,56.2637,1
Hozo,Definitely endangered,3000,9.3352,34.53,1
Jemez,Vulnerable,3000,35.6151,-106.7242,1
Kamara,Definitely endangered,3000,9.0858,-2.2576,1
Kapingamarangi,Severely endangered,3000,1.0828,154.8081,1
Koitabu,Vulnerable,3000,-9.346,147.1179,1
Kuk,Definitely endangered,3000,6.4326,10.2365,1
Lai,Definitely endangered,3000,24.4871,105.216,1
Limirong Tibetan,Definitely endangered,3000,29.9164,81.7617,1
Lishanid Noshan (Israel),Severely endangered,3000,31.7188,34.7772,1
Lude,Severely endangered,3000,61.5867,33.6813,1
"Mbya Guarani (Argentina, Uruguay)",Severely endangered,3000,-29.6116,-57.4804,1
"Mohawk (Akwesasne, St. Regis)",Definitely endangered,3000,45.0033,-74.6497,1
Nanay,Severely endangered,3000,49.3537,136.5243,1
Palu'e,Definitely endangered,3000,-8.3242,121.7106,1
Panare,Vulnerable,3000,6.5445,-66.4233,1
Pilagá,Vulnerable,3000,-25.4035,-58.6669,1
Pitjantjatjara,Vulnerable,3000,-26.0719,129.9517,1
Pukur,Definitely endangered,3000,10.4013,-14.4799,1
Rotuman,Vulnerable,3000,-12.5063,177.0776,1
Savi,Definitely endangered,3000,35.2085,71.845,1
Sherdukpen,Vulnerable,3000,27.1935,92.351,1
Shira Yugur,Severely endangered,3000,39.1002,99.2065,1
Takahanyilang,Critically endangered,3000,6.85,93.8726,1
U,Definitely endangered,3000,23.4844,99.8404,1
Ulithian,Severely endangered,3000,10.0229,139.6801,1
Waima'a,Definitely endangered,3000,-8.4995,126.3372,1
Warlpiri,Vulnerable,3000,-20.8177,131.6601,1
Yukpa,Vulnerable,3000,9.7956,-72.9382,1
Western Montagnais,Vulnerable,2980,48.9635,-68.5729,1
Waiwai (Brazil),Vulnerable,2916,-0.7909,-58.2714,1
Jersey French,Severely endangered,2874,49.2211,-2.1368,1
Bahing,Definitely endangered,2765,27.3126,86.5571,1
Stoney,Vulnerable,2765,51.161,-114.8533,1
Southwestern Tepehuan,Vulnerable,2756,22.8349,-105.7276,1
Northern Mansi,Severely endangered,2746,62.6539,63.1494,1
Bisu,Definitely endangered,2740,19.715,99.6789,1
Wari,Definitely endangered,2721,-11.7275,-65.0061,1
Pakan,Definitely endangered,2700,23.7447,105.2235,1
Yami,Vulnerable,2700,22.0512,121.5403,1
Ko,Critically endangered,2683,10.6714,30.8386,1
Yuracaré,Definitely endangered,2675,-16.6888,-65.4345,1
Aimol,Critically endangered,2643,24.4971,93.6145,1
Kohi,Vulnerable,2641,27.3607,86.8661,1
Chatino of the western lowlands,Definitely endangered,2640,16.3049,-97.5466,1
Bolo,Definitely endangered,2627,-10.5526,14.9633,1
Logol,Severely endangered,2600,10.8521,30.6463,1
Sila,Definitely endangered,2600,22.3094,102.041,1
Pisaflores Tepehua,Vulnerable,2578,20.6883,-98.0125,1
Xerente,Severely endangered,2569,-9.3356,-48.2227,1
Bribri (Panama),Severely endangered,2521,9.4813,-82.6174,1
Achuar,Definitely endangered,2500,-2.8991,-77.4316,1
Bai,Definitely endangered,2500,8.0592,25.5102,1
Banka,Definitely endangered,2500,11.4261,-5.6744,1
Culina (Peru),Definitely endangered,2500,-9.6224,-70.7958,1
Gadang,Definitely endangered,2500,10.3473,17.2485,1
Khinalug,Severely endangered,2500,41.1579,48.0706,1
Laomian (China),Definitely endangered,2500,23.7645,100.0195,1
Laomian (Myanmar),Definitely endangered,2500,22.6833,99.25,1
Lhokpu,Definitely endangered,2500,26.9514,89.2968,1
Martuwangka,Vulnerable,2500,-24.1975,122.9589,1
Mayoruna (Peru),Vulnerable,2500,-5.5285,-73.4765,1
Pingelapese,Severely endangered,2500,6.2279,160.7107,1
Rapanui,Severely endangered,2500,-27.108,-109.3579,1
Remo,Severely endangered,2500,19.1659,82.6391,1
Roshorvi,Severely endangered,2500,38.1086,72.1719,1
Sanglechi,Severely endangered,2500,36.6585,71.4784,1
Semelai,Severely endangered,2500,3.1761,102.4818,1
Urak Lawoi (Malaysia),Definitely endangered,2500,6.4194,99.7869,1
Urak Lawoi (Thailand),Definitely endangered,2500,7.7756,98.3306,1
Zirenkel,Definitely endangered,2500,12.136,18.4735,1
Vumbu,Definitely endangered,2460,-1.8783,10.816,1
Mopán (Guatemala),Severely endangered,2455,16.5144,-89.4167,1
Cuiba,Severely endangered,2445,6.4463,-69.9389,1
Raji,Severely endangered,2413,27.9721,82.3135,1
Highland Chontal,Severely endangered,2410,16.2832,-95.857,1
Yasa,Definitely endangered,2401,2.3284,9.8464,1
Bumbita Arapesh,Vulnerable,2353,-3.6449,142.8002,1
Mang (China),Definitely endangered,2300,22.8293,103.1039,1
Mang (Viet Nam),Definitely endangered,2300,22.35,102.9666,1
Tlachichilco Tepehua,Definitely endangered,2234,20.6205,-98.1991,1
Blackfoot (Canada),Definitely endangered,2200,49.3535,-113.2884,1
Jaya,Severely endangered,2200,12.187,18.1645,1
Karipuna do Amapá,Vulnerable,2200,3.3379,-51.6796,1
Kulfa,Definitely endangered,2200,9.9742,19.1848,1
Krahô,Vulnerable,2184,-8.4071,-47.2851,1
Kristang,Severely endangered,2150,2.1935,102.256,1
Yine,Definitely endangered,2150,-11.4584,-73.0261,1
North Alaskan Inupiaq (Kotzebue Sound),Severely endangered,2144,66.8972,-162.5855,1
North Alaskan Inupiaq (North Slope),Severely endangered,2144,71.2725,-156.7749,1
